gene	21373_7_20	21373_7_37	21373_7_60	21373_7_102	21373_7_106	21373_7_139	21373_7_152	21373_7_160	21373_7_166	21373_7_169	21373_7_175	21373_7_183	21373_7_202	21373_7_204	21373_7_216	21373_7_221	21373_7_225	21373_7_239	21373_7_254	21373_7_262	21373_7_271	21373_7_279	21373_7_304	21373_7_317	21373_7_327	21373_7_340	21373_7_346	21373_7_354	21373_7_358	21373_7_369	21373_7_377	21373_7_381
ENSMMUG00000004558	3.01	0	0	0	0	0	0	0	0	4.01	71.02	0	0	0	66.02	0	0	0	0	0	0	18.01	27.02	0	99.02	0	2.01	0	0	0	0	2.01
ENSMMUG00000016309	0	0	0	0	0	0	0	0	0	0	6.69502	10.4036	0	3.44805	0	0	0	0	17.6051	4.88446	0	1.01	7.13585	0	2.07684	3.61698	0	0	0	0	6.8655	0
ENSMMUG00000006582	0	0	0	0	253.01	0	0	0	0	0	0	0	0	60.02	0	1.01	0	0	0	0	0	0	0	0	135.01	0	3.01	0	0	94.02	0	0
ENSMMUG00000019842	12.01	0	0	0	2.01	20.01	4.01	0	0	6.01	9.01	48.01	28.01	0	23.01	13.01	0	0	32.01	8.01	0	80.01	37.01	0	0	0	79.01	0	86.01	0	8.01	24.01
ENSMMUG00000012270	1.01	38.01	121.01	2.01	26.01	33.01	26.01	59.01	18.01	3.01	54.01	19.01	42.01	141.01	11.01	62.01	1.01	0	27.01	78.01	28.0212	138.01	63.01	152.01	17.01	0	85.01	104.061	36.01	147.01	0	7.01
ENSMMUG00000011299	10.01	69.02	93.01	109.01	0	0	132.02	0	0	8.01	90.1308	0	75.01	0	13.01	26.01	0	122.01	8.01	111.02	289.01	1.01	0	0	122.01	0	47.01	83.01	0	41.01	52.01	42.01
ENSMMUG00000006104	24.01	401.981	203.01	331.608	71.1357	236.01	266.01	404.352	40.6901	78.01	283.01	324.01	283.01	242.01	147.01	427.01	133.256	422.857	340.01	198.01	231.01	387.01	437.401	164.01	575.442	76.01	311.901	236.01	412.01	235.01	133.01	56.01
ENSMMUG00000008239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000019774	14.01	79.5402	142.538	79.02	0	19.01	59.8901	99.4173	1.01	23.02	79.03	517.03	4.0408	197.728	49.01	57.02	1.01	88.8285	324.032	84.02	159.02	116.03	52.0269	114.03	97.03	23.01	161.04	152.391	233.03	121.23	4.01	32.01
ENSMMUG00000018572	216.01	392.36	1111.01	299.01	267.01	843.742	373.01	470.518	135.01	287.01	1041.07	778.138	666.475	822.73	376.01	738.264	6.01	607.01	659.091	505.41	72.0337	775.756	462.055	695.381	894.826	183.01	925.819	890.253	1040.01	896.01	264.621	88.01
ENSMMUG00000030811	23.0945	39.6133	51.5429	20.2217	0	61.1715	22.9987	27.505	1.15511	33.395	33.1572	21.0906	14.6066	35.3915	16.6969	24.5123	0	91.9045	30.4783	16.0678	0	51.3295	100.651	21.5705	137.548	1.3931	63.3591	31.3662	30.6856	55.4474	20.6027	14.0056
ENSMMUG00000010009	4.01	256.01	184.976	0	16.01	36.01	8.01	319.01	0	24.02	48.01	0	60.01	249.02	25.01	92.01	78.01	0	508.01	276.878	0	107.01	112.01	0	0	0	185.01	66.01	140.01	366.01	26.01	0
ENSMMUG00000015380	0	259.01	93.01	297.01	0	30.01	0	204.185	0	3.01	0	0	120.01	121.01	18.01	0	0	0	98.01	0	0	0	22.01	0	3.01	0	58.01	0	0	1.01	36.01	21.01
ENSMMUG00000031700	0	0	0	0	0	0	0	0	0	1.01	0	0	0	0	0	0	0	0	0	0	0	0	0	2.01	0	0	10.5332	0	0	0	0	0
ENSMMUG00000023576	0	2.81748	1.12903	0	0	4.61746	0	5.11126	11.9493	2.92706	5.31572	20.3555	3.0467	2.92415	0	6.06653	12.0622	0	7.9317	3.40403	9.3379	8.07185	13.0232	0	13.7481	23.1601	9.69077	27.6648	0	0	1.01	0
ENSMMUG00000008146	48.01	312.02	192.01	280.01	95.01	275.325	319.538	303.01	0	18.01	45.01	155.01	83.01	172.01	101.01	103.01	32.3184	144.01	563.213	99.01	178.01	113.01	194.108	177.01	101.01	25.01	208.01	59.01	294.02	268.961	102.01	82.01
ENSMMUG00000007629	0	31.01	0	0	0	0	0	0	0	13.01	0	0	0	32.01	0	0	1.01028	28.01	0	22.01	0	0	0	0	46.01	0	123.098	0	0	0	0	0
ENSMMUG00000016556	10.01	0	0	0	0	54.01	0	18.01	0	24.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.01	0	0	24.01	13.01
ENSMMUG00000015719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.01	0	0	0	0	0	0
ENSMMUG00000023400	0	0	226.657	0	25.01	61.01	0	0	0	39.01	90.01	18.01	62.0875	211.01	37.01	81.01	3.01	0	69.1705	145.01	0	131.01	34.01	78.01	3.01	0	261.01	0	96.01	69.01	32.01	16.01
