gene	21373_7_6	21373_7_10	21373_7_33	21373_7_35	21373_7_41	21373_7_52	21373_7_56	21373_7_58	21373_7_62	21373_7_75	21373_7_79	21373_7_112	21373_7_135	21373_7_148	21373_7_162	21373_7_173	21373_7_185	21373_7_212	21373_7_214	21373_7_235	21373_7_244	21373_7_258	21373_7_269	21373_7_273	21373_7_281	21373_7_287	21373_7_338	21373_7_352	21373_7_375
ENSMMUG00000030044	4.01	0	0	0	2.01	2.77635	0	38.4531	6.16239	0	0	2.11102	8.32971	2.03548	6.54725	2.73823	8.29294	10.3312	0	1.0632	0	2.45219	2.05499	10.2282	10.498	10.0233	1.1278	10.7951	3.14254
ENSMMUG00000019255	0	0	0	0	0	0	0	19.01	0	0	0	0	5.01	6.15683	0	5.01	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000011924	0	0	0	0	1.01	3.01	5.01	0	0	0	0	0	0	0	13.02	0	0	0	0	70.01	0	0	0	0	0	0	0	0	7.19437
ENSMMUG00000019470	0	0	0	112.01	0	0	18.01	1.01	0	0	5.01	0	1.01	0	0	6.0321	0	0	0	0	0	0	0	0	0	0	0	61.0157	0
ENSMMUG00000028717	7.01	0	0	0	0	0	0	0	0	0	0	0	89.536	0	0	0	0	0	0	68.01	0	0	0	0	0	0	0	0	0
ENSMMUG00000014828	0	18.01	46.0245	45.01	10.01	37.01	2.01	25.01	23.01	0	20.01	0	247.01	0	54.0465	0	0	44.01	22.01	0	0	61.0156	1.01	45.01	164.477	0	3.01	47.01	0
ENSMMUG00000009059	33.01	0	29.01	187.01	104.01	11.01	321.239	246.01	348.01	324.01	198.01	67.01	0	0	191.01	0	0	6.01	40.01	189.01	0	17.0166	115.01	305.01	228.01	0	33.01	432.508	0
ENSMMUG00000019547	0	30.01	26.01	2.01	0	23.01	65.01	42.01	0	0	90.01	14.01	59.01	0	9.01	0	2.02096	1.01	0	1.01	0	3.01	102.01	0	1.01	0	0	9.01	1.01
ENSMMUG00000013279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000022207	2.01	0	22.01	0	0	2.01	0	0	0	0	0	18.01	0	0	22.01	0	0	0	10.01	0	0	0	0	4.01	5.01114	0	0	0	0
ENSMMUG00000010828	0	0	0	0	0	0	0	1.01014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01022	0	1.01029
ENSMMUG00000005884	23.01	0	44.01	71.01	16.01	53.9858	211.01	150.01	0	0	69.01	122.01	38.01	0	89.01	72.9024	32.2007	0	20.01	55.01	0	25.1734	0	102.01	0	30.9789	0	502.01	36.01
ENSMMUG00000008268	6.02	1.01	11.01	1.01	4.01	4.01	61.01	60.0301	0	86.01	40.01	117.03	0	0	30.02	0	103.02	43.01	10.02	77.5253	0	0	0	0	0	0	13.01	75.01	0
