gene	21373_3_7	21373_3_8	21373_3_21	21373_3_31	21373_3_32	21373_3_50	21373_3_63	21373_3_64	21373_3_99	21373_3_113	21373_3_124	21373_3_131	21373_3_137	21373_3_138	21373_3_154	21373_3_158	21373_3_163	21373_3_167	21373_3_178	21373_3_188	21373_3_191	21373_3_192	21373_3_195	21373_3_208	21373_3_210	21373_3_219	21373_3_231	21373_3_233	21373_3_252	21373_3_275	21373_3_276	21373_3_295	21373_3_302	21373_3_310	21373_3_319	21373_3_326	21373_3_333	21373_3_341	21373_3_342	21373_3_360
ENSRNOG00000001440	978.01	350.01	642.01	652.658	658.01	137.541	1317.32	244.01	1797.53	163.01	460.894	603.01	116.01	272.01	776.758	948.516	1724.01	1.01	363.01	521.01	0	1.01	1028.95	557.6	1444.1	683.55	1073.58	0	630.01	1682.01	373.911	2285.79	169.01	372.01	175.01	280.01	285.997	1071.51	442.01	253.41
ENSRNOG00000020295	0	0	0	0	0	0	0	0	0	9.01	0	0	0	0	0	0	203.01	0	0	0	0	0	0	0	0	0	0	0	0	0	25.01	0	0	0	0	0	0	0	0	0
ENSRNOG00000019142	24.01	200.01	0	71.01	42.01	3.01	400.501	32.01	522.01	22.02	0	89.01	516.01	73.01	463.005	724.517	0	141.01	1.01	21.01	16.01	55.0565	109.01	540.773	84.01	1213.01	1187.41	0	419.232	388.01	0	255.01	378.01	95.01	0	0	187.141	739.162	0	177.183
ENSRNOG00000059160	0	0	6.01972	0	0	13.0289	0	44.7646	13.346	0	0	48.5777	0	0	1.03802	0	0	49.01	0	0	3.82705	0	0	3.47455	0	0	0	0	0	0	0	170.21	0	0	0	0	0	0	0	0
ENSRNOG00000029001	1.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.01	0
ENSRNOG00000001143	0	0	1.01096	2.01095	2.01	3.01	3.01415	0	1.01053	3.15267	0	2.01887	2.45258	0	0	0	2.08838	3.01759	1.01	1.01	3.02526	3.01	2.01705	1.01061	1.01046	3.01455	1.01097	5.15131	0	0	0	2.01171	3.01472	0	2.01497	1.01126	0	4.01241	1.06809	3.01
ENSRNOG00000001708	0	5.053	0	1.01	0	0	251.253	55.783	306.01	28.4699	32.01	1.01	137.01	0	0	1.01	43.3386	47.9993	0	0	0	0	38.01	61.01	0	0	131.01	0	0	199.01	0	0	0	26.01	59.8461	1.01	0	0	2.01	0
ENSRNOG00000032070	0	0	0	0	55.01	0	177.01	0	46.01	35.9598	0	0	0	0	0	0	0	0	0	0	0	0	0	181.01	27.01	210.038	0	0	0	29.01	36.01	0	0	0	0	0	0	147.01	0	0
ENSRNOG00000032951	0	0	0	0	0	0	0	0	0	0	4.01	0	0	0	0	0	0	0	0	0	0	0	7.39433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000019394	59.01	2.01	183.01	0	2.01	105.01	154.01	68.01	81.01	139.652	0	0	256.549	45.8853	100.227	64.1387	203.162	0	39.01	44.8173	0	0	0	28.01	249.234	106.244	140.145	0	0	205.01	0	0	0	0	0	0	0	0	216.268	81.1444
