gene	21373_3_39	21373_3_72	21373_3_77	21373_3_78	21373_3_91	21373_3_92	21373_3_96	21373_3_104	21373_3_109	21373_3_110	21373_3_117	21373_3_128	21373_3_133	21373_3_142	21373_3_155	21373_3_156	21373_3_179	21373_3_205	21373_3_229	21373_3_230	21373_3_242	21373_3_259	21373_3_260	21373_3_266	21373_3_291	21373_3_292	21373_3_298	21373_3_305	21373_3_315	21373_3_316	21373_3_322	21373_3_330	21373_3_372
ENSRNOG00000007648	336.332	82.01	733.01	20.01	188.01	70.01	30.01	485.01	371.38	111.01	179.01	101.419	145.249	281.01	331.01	0	615.01	403.01	709.412	0	156.01	467.998	414.01	93.01	245.01	285.324	565.01	0	271.01	156.01	171.886	206.01	85.01
ENSRNOG00000024733	0	0	0	0	0	5.01	3.01	50.01	0	0	0	0	0	0	0	0	0	0	0	18.01	0	0	0	0	0	0	0	72.01	35.01	0	0	0	0
ENSRNOG00000050630	125.239	40.648	104.258	34.5375	83.9258	15.1351	6.35274	52.1986	34.8026	44.352	48.9809	12.0923	59.0692	18.1034	130.123	78.8883	133.194	132.93	169.252	38.1144	50.3336	113.225	67.1001	23.2522	114.702	72.2946	135.972	49.5049	45.3558	20.0523	34.3684	53.7721	19.0941
ENSRNOG00000057760	9.01	0	0	0	0	0	0	167.01	0	0	0	0	7.38268	0	15.01	0	0	0	0	0	0	0	0	0	200.468	0	0	0	9.01	0	0	0	0
ENSRNOG00000031247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.01	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000031325	309.01	0	177.01	80.02	125.02	0	0	17.01	140.02	127.01	0	11.01	113.02	0	119.02	0	120.01	182.01	4.01	16.02	15.01	275.02	184.02	6.01	182.02	572.02	57.02	330.02	339.02	29.02	78.02	79.02	0
ENSRNOG00000011971	446.01	0	1.01	83.01	154.01	42.01	0	132.01	0	0	0	173.01	286.01	0	0	222.01	335.01	738.01	118.01	195.02	163.01	344.01	23.01	87.01	0	353.09	0	4.01	0	175.01	0	0	92.02
ENSRNOG00000023020	72.235	139.01	8.01	3.01	1.01	1.01	20.01	44.3644	0	0	0	11.01	71.01	0	95.01	0	119.01	119.01	66.01	0	0	3.01	29.01	0	0	0	0	129.01	0	11.01	0	0	0
ENSRNOG00000012227	18.7178	1.99098	231.022	61.98	102.729	1.03182	1.04442	6.43117	13.2337	6.35951	2.02105	1.0296	3.03084	0	7.02535	4.09462	271.747	82.3206	12.6616	5.07248	16.1269	17.5108	171.614	32.119	96.0184	5.20666	23.8703	312.248	16.6528	41.7625	3.10053	0	9.12863
ENSRNOG00000021143	0	0	120.084	0	0	2.02413	0	0	0	0	0	0	0	0	0	0	54.3556	1.01	159.652	75.01	2.01245	0	73.01	16.0948	0	164.521	4.01	0	0	0	0	0	31.6401
