index	gene	class	divergence
115	ENSMUSG00000027347	a_all	2.60750488882902
116	ENSMUSG00000027347	b_DE	2.60750488882902
117	ENSMUSG00000020227	a_all	0.684736914182844
118	ENSMUSG00000020227	b_DE	0.684736914182844
119	ENSMUSG00000040483	a_all	0.681967690917856
120	ENSMUSG00000040483	b_DE	0.681967690917856
121	ENSMUSG00000022358	a_all	1.99463287999689
122	ENSMUSG00000022358	b_DE	1.99463287999689
123	ENSMUSG00000035356	a_all	0.018584495145547
124	ENSMUSG00000035356	b_DE	0.018584495145547
125	ENSMUSG00000032691	a_all	2.46060202233188
126	ENSMUSG00000032691	b_DE	2.46060202233188
127	ENSMUSG00000023947	a_all	1.07279708536874
128	ENSMUSG00000023947	b_DE	1.07279708536874
129	ENSMUSG00000020638	a_all	2.69921375671366
130	ENSMUSG00000020638	b_DE	2.69921375671366
131	ENSMUSG00000063193	a_all	2.282049195121
132	ENSMUSG00000063193	b_DE	2.282049195121
133	ENSMUSG00000020178	a_all	1.08808809416424
134	ENSMUSG00000020178	b_DE	1.08808809416424
135	ENSMUSG00000025969	a_all	-0.44947037205483
136	ENSMUSG00000025969	b_DE	-0.44947037205483
137	ENSMUSG00000037921	a_all	1.24442682269548
138	ENSMUSG00000037921	b_DE	1.24442682269548
139	ENSMUSG00000030595	a_all	0.247338803647556
140	ENSMUSG00000030595	b_DE	0.247338803647556
141	ENSMUSG00000027776	a_all	2.40329113162993
142	ENSMUSG00000027776	b_DE	2.40329113162993
143	ENSMUSG00000017830	a_all	-0.076851351150624
144	ENSMUSG00000017830	b_DE	-0.076851351150624
145	ENSMUSG00000016496	a_all	-0.35723455529625
146	ENSMUSG00000016496	b_DE	-0.35723455529625
147	ENSMUSG00000039699	a_all	0.748461771390297
148	ENSMUSG00000039699	b_DE	0.748461771390297
149	ENSMUSG00000056069	a_all	1.44518104101491
150	ENSMUSG00000056069	b_DE	1.44518104101491
151	ENSMUSG00000079659	a_all	0.580313500438819
152	ENSMUSG00000079659	b_DE	0.580313500438819
153	ENSMUSG00000046223	a_all	1.35971678850307
154	ENSMUSG00000046223	b_DE	1.35971678850307
155	ENSMUSG00000031712	a_all	1.19637249481943
156	ENSMUSG00000031712	b_DE	1.19637249481943
157	ENSMUSG00000043953	a_all	2.26633623850368
158	ENSMUSG00000043953	b_DE	2.26633623850368
159	ENSMUSG00000031004	a_all	2.30596662498542
160	ENSMUSG00000031004	b_DE	2.30596662498542
161	ENSMUSG00000032000	a_all	-0.047928392947733
162	ENSMUSG00000032000	b_DE	-0.047928392947733
163	ENSMUSG00000027962	a_all	2.27367149616153
164	ENSMUSG00000027962	b_DE	2.27367149616153
165	ENSMUSG00000030107	a_all	-0.178780004655226
166	ENSMUSG00000030107	b_DE	-0.178780004655226
167	ENSMUSG00000006715	a_all	2.18272692990254
168	ENSMUSG00000006715	b_DE	2.18272692990254
169	ENSMUSG00000020250	a_all	0.017771253663745
170	ENSMUSG00000020250	b_DE	0.017771253663745
171	ENSMUSG00000022906	a_all	-1.22462017727948
172	ENSMUSG00000022906	b_DE	-1.22462017727948
173	ENSMUSG00000016529	a_all	2.37118645299704
174	ENSMUSG00000016529	b_DE	2.37118645299704
175	ENSMUSG00000058013	a_all	0.577799242636091
176	ENSMUSG00000058013	b_DE	0.577799242636091
177	ENSMUSG00000026031	a_all	0.8121190408329
178	ENSMUSG00000026031	b_DE	0.8121190408329
179	ENSMUSG00000010358	a_all	0.437942754073329
180	ENSMUSG00000010358	b_DE	0.437942754073329
181	ENSMUSG00000021384	a_all	1.58610566784813
182	ENSMUSG00000021384	b_DE	1.58610566784813
183	ENSMUSG00000028214	a_all	2.09281456339663
184	ENSMUSG00000028214	b_DE	2.09281456339663
185	ENSMUSG00000025591	a_all	1.66838094704914
186	ENSMUSG00000025591	b_DE	1.66838094704914
187	ENSMUSG00000000184	a_all	2.44403752408698
188	ENSMUSG00000000184	b_DE	2.44403752408698
189	ENSMUSG00000020696	a_all	1.59075620084427
190	ENSMUSG00000020696	b_DE	1.59075620084427
191	ENSMUSG00000025044	a_all	1.05911793625773
192	ENSMUSG00000025044	b_DE	1.05911793625773
193	ENSMUSG00000056220	a_all	1.5711901422046
194	ENSMUSG00000056220	b_DE	1.5711901422046
195	ENSMUSG00000027360	a_all	3.22831728672611
196	ENSMUSG00000027360	b_DE	3.22831728672611
197	ENSMUSG00000029553	a_all	-0.300206167935959
198	ENSMUSG00000029553	b_DE	-0.300206167935959
199	ENSMUSG00000017144	a_all	2.01005524326539
200	ENSMUSG00000017144	b_DE	2.01005524326539
201	ENSMUSG00000027009	a_all	1.70019602812176
202	ENSMUSG00000027009	b_DE	1.70019602812176
203	ENSMUSG00000037752	a_all	0.898275197083799
204	ENSMUSG00000037752	b_DE	0.898275197083799
205	ENSMUSG00000032578	a_all	2.5564599335866
206	ENSMUSG00000032578	b_DE	2.5564599335866
207	ENSMUSG00000025278	a_all	2.32509013910316
208	ENSMUSG00000025278	b_DE	2.32509013910316
209	ENSMUSG00000055322	a_all	1.9861830399053
210	ENSMUSG00000055322	b_DE	1.9861830399053
211	ENSMUSG00000042608	a_all	0.354478759891713
212	ENSMUSG00000042608	b_DE	0.354478759891713
213	ENSMUSG00000026547	a_all	0.053256144387276
214	ENSMUSG00000026547	b_DE	0.053256144387276
215	ENSMUSG00000028599	a_all	1.89616780835851
216	ENSMUSG00000028599	b_DE	1.89616780835851
217	ENSMUSG00000028037	a_all	1.5739182588047
218	ENSMUSG00000028037	b_DE	1.5739182588047
219	ENSMUSG00000038034	a_all	0.331009514473878
220	ENSMUSG00000038034	b_DE	0.331009514473878
221	ENSMUSG00000049502	a_all	0.069692227115334
222	ENSMUSG00000049502	b_DE	0.069692227115334
223	ENSMUSG00000026827	a_all	0.10661257192246
224	ENSMUSG00000026827	b_DE	0.10661257192246
225	ENSMUSG00000030203	a_all	0.997961629360815
226	ENSMUSG00000030203	b_DE	0.997961629360815
227	ENSMUSG00000021765	a_all	2.13194370197792
228	ENSMUSG00000021765	b_DE	2.13194370197792
229	ENSMUSG00000022353	a_all	2.02654039192436
230	ENSMUSG00000022353	b_DE	2.02654039192436
231	ENSMUSG00000024732	a_all	1.90568150118498
232	ENSMUSG00000024732	b_DE	1.90568150118498
233	ENSMUSG00000031596	a_all	3.02064115252278
234	ENSMUSG00000031596	b_DE	3.02064115252278
235	ENSMUSG00000045502	a_all	2.79631582359883
236	ENSMUSG00000045502	b_DE	2.79631582359883
237	ENSMUSG00000028412	a_all	0.771743759448784
238	ENSMUSG00000028412	b_DE	0.771743759448784
239	ENSMUSG00000029822	a_all	2.33319539479077
240	ENSMUSG00000029822	b_DE	2.33319539479077
241	ENSMUSG00000033949	a_all	0.83906355352725
242	ENSMUSG00000033949	b_DE	0.83906355352725
243	ENSMUSG00000021930	a_all	1.5365628694865
